trans_x	trans_y	trans_z	rot_x	rot_y	rot_z	framewise_displacement	a_comp_cor_00	a_comp_cor_01	a_comp_cor_02	a_comp_cor_03	a_comp_cor_04	a_comp_cor_05
0.00811307	-0.0106789	0.0523759	1.23807e-05	-0.00015643799999999998	0.0	0.12024063060000002	-0.0035774356	-0.0163983464	-0.0479933509	-0.0040091906	0.0106981818	0.0468009476
0.0	0.000659462	0.07044299999999999	9.640020000000004e-05	-0.0	0.0	0.049541407	-0.0018810891	-0.0512266549	-0.0323265931	-0.0022462626	0.0155872138	0.0190853162
0.0	0.0530111	0.112355	-0.00042664900000000003	-0.0	0.0	0.12041609799999994	0.0032647825	-0.0488872821	0.0225335184	0.0123751051	0.0175365071	-0.0004829109
0.00671841	-0.0269368	0.07067760000000001	5.92453e-05	9.07075e-05	0.0	0.15717379999999997	0.0097082754	-0.0007964927999999999	0.0304293914	0.0203295756	0.0285342233	0.0015175567999999998
-6.01972e-10	0.029735900000000003	0.104252	-0.000323002	-0.0	0.0	0.12061325060197199	0.0039684888	0.0197763596	0.020631072	0.0251867048	0.0131470772	-0.0081095152
0.0	0.038591900000000005	0.106045	-0.00042664900000000003	-0.0	0.0	0.015831350601972	0.0033640788	0.0285153001	-0.0112135609	0.0169681665	0.0161865109	0.0036483285
-1.0116e-09	-0.032541	0.07477749999999997	-0.000342772	-0.0	0.0	0.1065942510116	-0.0009338927	0.0139923708	-0.0344342906	0.0077141126	-0.0219743054	0.0195382225
0.0089972	0.0236118	0.10803099999999999	-0.00042664900000000003	-0.0	0.0	0.10259735101160002	-0.0075908834	-0.0055467296	-0.0427803166	0.0019621816	-0.0214343757	0.0241826927
0.0139845	0.054854999999999994	0.107547	-0.000689748	-0.0	0.0	0.04986945	-0.0031949820000000003	-0.0280446115	-0.0204434582	-0.0010089372	-0.0275554354	0.0273577269
0.0148435	-0.025870599999999997	0.06906060000000001	-4.01191e-05	-0.000101066	0.000173268	0.166269145	0.004532421599999999	-0.0371591105	0.0219528946	0.0050184754	-0.0267622681	0.0428854107
